Timestamp,ActiveDevices,ActiveActors,Anomalies,Debug
00:17:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.4, hygiene:88.5, leisure:78.0, work_duty:98.8, "
00:17:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.4, hygiene:88.5, leisure:78.0, work_duty:98.8, "
00:18:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.2, hunger:93.4, hygiene:88.5, leisure:78.0, work_duty:98.8, "
00:18:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.7, energy:29.2, hunger:93.3, hygiene:88.5, leisure:77.9, "
00:18:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:93.3, hygiene:88.5, leisure:77.9, work_duty:98.7, energy:29.2, "
00:18:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:77.9, work_duty:98.7, energy:29.3, hunger:93.3, hygiene:88.4, "
00:19:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:93.2, hygiene:88.4, leisure:77.9, work_duty:98.7, "
00:19:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:93.2, hygiene:88.4, leisure:77.8, work_duty:98.7, energy:29.3, "
00:19:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.6, energy:29.3, hunger:93.1, hygiene:88.4, leisure:77.8, "
00:19:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:93.1, hygiene:88.4, leisure:77.8, work_duty:98.6, "
00:20:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:93.1, hygiene:88.3, leisure:77.8, work_duty:98.6, "
00:20:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:88.3, leisure:77.7, work_duty:98.6, energy:29.3, hunger:93.0, "
00:20:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:93.0, hygiene:88.3, leisure:77.7, work_duty:98.6, "
00:20:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:93.0, hygiene:88.3, leisure:77.7, work_duty:98.6, "
00:21:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:92.9, hygiene:88.3, leisure:77.6, work_duty:98.5, energy:29.3, "
00:21:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.3, hunger:92.9, hygiene:88.2, leisure:77.6, work_duty:98.5, "
00:21:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:77.6, work_duty:98.5, energy:29.3, hunger:92.8, hygiene:88.2, "
00:21:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.4, hunger:92.8, hygiene:88.2, leisure:77.6, work_duty:98.5, "
00:22:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.5, energy:29.4, hunger:92.8, hygiene:88.2, leisure:77.5, "
00:22:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.4, hunger:92.7, hygiene:88.1, leisure:77.5, work_duty:98.5, "
00:22:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:88.1, leisure:77.5, work_duty:98.4, energy:29.4, hunger:92.7, "
00:22:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:88.1, leisure:77.4, work_duty:98.4, energy:29.4, hunger:92.7, "
00:23:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.4, hunger:92.6, hygiene:88.1, leisure:77.4, work_duty:98.4, "
00:23:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.4, hunger:92.6, hygiene:88.1, leisure:77.4, work_duty:98.4, "
00:23:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.4, hunger:92.6, hygiene:88.0, leisure:77.4, work_duty:98.4, "
00:23:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:92.5, hygiene:88.0, leisure:77.3, work_duty:98.4, energy:29.4, "
00:24:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:77.3, work_duty:98.3, energy:29.5, hunger:92.5, hygiene:88.0, "
00:24:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.5, hunger:92.4, hygiene:88.0, leisure:77.3, work_duty:98.3, "
00:24:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:92.4, hygiene:88.0, leisure:77.2, work_duty:98.3, energy:29.5, "
00:24:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.5, hunger:92.4, hygiene:87.9, leisure:77.2, work_duty:98.3, "
00:25:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hygiene:87.9, leisure:77.2, work_duty:98.3, energy:29.5, hunger:92.3, "
00:25:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.5, hunger:92.3, hygiene:87.9, leisure:77.2, work_duty:98.2, "
00:25:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.6, hunger:92.3, hygiene:87.9, leisure:77.1, work_duty:98.2, "
00:25:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.2, energy:29.6, hunger:92.2, hygiene:87.9, leisure:77.1, "
00:26:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.6, hunger:92.2, hygiene:87.8, leisure:77.1, work_duty:98.2, "
00:26:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.2, energy:29.6, hunger:92.2, hygiene:87.8, leisure:77.0, "
00:26:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.2, energy:29.6, hunger:92.1, hygiene:87.8, leisure:77.0, "
00:26:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.6, hunger:92.1, hygiene:87.8, leisure:77.0, work_duty:98.1, "
00:27:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: work_duty:98.1, energy:29.7, hunger:92.0, hygiene:87.8, leisure:77.0, "
00:27:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:76.9, work_duty:98.1, energy:29.7, hunger:92.0, hygiene:87.7, "
00:27:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.7, hunger:92.0, hygiene:87.7, leisure:76.9, work_duty:98.1, "
00:27:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: hunger:91.9, hygiene:87.7, leisure:76.9, work_duty:98.1, energy:29.7, "
00:28:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.7, hunger:91.9, hygiene:87.7, leisure:76.8, work_duty:98.1, "
00:28:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.8, hunger:91.9, hygiene:87.6, leisure:76.8, work_duty:98.0, "
00:28:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.8, hunger:91.8, hygiene:87.6, leisure:76.8, work_duty:98.0, "
00:28:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: leisure:76.8, work_duty:98.0, energy:29.8, hunger:91.8, hygiene:87.6, "
00:29:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.8, hunger:91.7, hygiene:87.6, leisure:76.7, work_duty:98.0, "
00:29:15,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.9, hunger:91.7, hygiene:87.6, leisure:76.7, work_duty:98.0, "
00:29:30,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.9, hunger:91.7, hygiene:87.5, leisure:76.7, work_duty:98.0, "
00:29:45,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.9, hunger:91.6, hygiene:87.5, leisure:76.6, work_duty:97.9, "
00:30:00,,stressed_worker:sleep_in_bed,,"[stressed_worker] (Busy: sleep_in_bed) Live Meters: energy:29.9, hunger:91.6, hygiene:87.5, leisure:76.6, work_duty:97.9, "
